ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
37,6.5,0.39,0.23,Low,0.051,25.0,149.0,0.99-1.00,Acidic,0.35,10%,5
38,7.0,0.33,0.32,Low,0.053,38.0,138.0,0.99-1.00,Acidic,0.29,11%,6
39,7.3,0.24,0.39,High,0.057,45.0,149.0,0.99-1.00,Acidic,0.36,8%,5
40,7.3,0.24,0.39,High,0.057,45.0,149.0,0.99-1.00,Acidic,0.36,8%,5
41,6.7,0.23,0.39,Low,0.172,63.0,158.0,0.99-1.00,Acidic,0.36,9%,6
42,6.7,0.24,0.39,Low,0.173,63.0,157.0,0.99-1.00,Acidic,0.34,9%,6
43,7.0,0.31,0.26,Moderate,0.069,28.0,160.0,0.99-1.00,Acidic,0.46,9%,6
44,6.6,0.24,0.26,Low,0.057,33.0,152.0,0.99-1.00,Acidic,0.56,9%,6
45,6.7,0.23,0.26,Low,0.06,33.0,154.0,0.99-1.00,Acidic,0.56,9%,6
46,,0.18,0.31,Low,0.058,38.0,167.0,0.99-1.00,Acidic,0.53,10%,7
47,6.2,0.45,0.26,Low,0.063,63.0,206.0,0.99-1.00,Acidic,0.52,9%,4
48,6.2,0.46,0.25,Low,0.066,62.0,207.0,0.99-1.00,Acidic,0.52,9%,5
49,7.0,0.31,0.26,Moderate,0.069,28.0,160.0,0.99-1.00,Acidic,0.46,9%,6
50,6.9,0.19,0.35,Low,0.067,32.0,150.0,0.99-1.00,Acidic,0.48,9%,5
51,7.2,0.19,0.31,Low,0.062,31.0,173.0,0.99-1.00,Acidic,0.44,11%,6
52,6.6,,0.29,Low,0.068,39.0,124.0,0.99-1.00,Acidic,0.58,11%,7
53,6.2,0.16,0.33,Low,0.057,21.0,82.0,0.99-1.00,Acidic,0.46,10%,7
54,6.4,0.18,0.35,Low,0.045,39.0,108.0,0.99-1.00,Acidic,0.35,10%,6
55,6.8,0.2,0.59,Low,0.147,38.0,132.0,0.99-1.00,Acidic,0.38,9%,6
56,6.9,0.25,0.35,Low,0.039,29.0,191.0,0.99-1.00,Acidic,0.52,11%,6
57,7.2,0.21,0.34,Moderate,0.043,37.0,213.0,0.99-1.00,Acidic,0.5,9%,6
58,6.0,0.19,0.26,Moderate,0.048,50.0,147.0,0.99-1.00,Acidic,0.36,8%,6
59,6.6,0.38,0.15,Low,0.044,25.0,78.0,0.99-1.00,Acidic,0.38,10%,6
60,7.4,0.2,0.36,Low,0.038,44.0,111.0,0.99-1.00,Acidic,0.34,9%,6
61,6.8,0.22,0.24,Low,0.092,30.0,123.0,0.99-1.00,Acidic,0.46,8%,6
62,6.0,0.19,0.26,Moderate,0.048,50.0,147.0,0.99-1.00,Acidic,0.36,8%,6
63,7.0,,0.07,Low,0.035,17.0,151.0,0.99-1.00,Acidic,0.34,10%,5
64,6.6,0.38,0.15,Low,0.044,25.0,78.0,0.99-1.00,Acidic,0.38,10%,6
65,7.2,0.24,0.27,Low,0.038,31.0,122.0,0.99-1.00,Acidic,0.46,10%,6
66,6.2,0.35,0.03,Low,0.064,29.0,120.0,0.99-1.00,Acidic,0.54,9%,5
67,6.4,0.26,0.24,Low,0.04,27.0,124.0,0.99-1.00,Acidic,0.49,12%,7
68,6.7,0.25,0.13,Low,0.041,81.0,174.0,0.99-1.00,Acidic,0.42,9%,5
69,,0.23,0.31,Low,0.046,30.0,96.0,0.99-1.00,Acidic,0.64,10%,8
70,7.4,0.24,0.29,Moderate,0.05,21.0,105.0,0.99-1.00,Acidic,0.35,9%,5
71,6.2,0.27,0.43,Moderate,0.056,48.0,244.0,0.99-1.00,Acidic,0.51,9%,6
72,6.8,0.3,0.23,Low,0.061,50.5,238.5,0.99-1.00,Acidic,0.6,9%,5
73,6.0,0.27,0.28,Low,0.063,31.0,201.0,0.99-1.00,Acidic,0.71,10%,5
74,8.6,0.23,0.46,Low,0.054,9.0,72.0,0.99-1.00,Highly Acidic,0.49,9%,6
75,6.7,0.23,0.31,Low,0.046,30.0,27.0,0.99-1.00,Acidic,0.64,10%,8
76,7.4,0.24,0.29,Moderate,0.05,21.0,105.0,0.99-1.00,Acidic,0.35,9%,5
77,7.1,0.18,0.36,Low,0.043,31.0,87.0,<0.99,Acidic,0.37,12%,7
78,,0.32,0.34,Low,0.042,20.0,69.0,0.99-1.00,Acidic,0.65,12%,7
79,7.4,0.18,0.3,Moderate,0.064,26.0,103.0,0.99-1.00,Highly Acidic,0.56,9%,5
80,6.7,0.54,0.28,Low,0.06,21.0,105.0,0.99-1.00,Acidic,0.37,9%,5
81,6.8,0.22,0.31,Low,0.053,34.0,114.0,0.99-1.00,Acidic,0.77,10%,6
82,7.1,0.2,0.34,High,0.05,51.0,166.0,0.99-1.00,Acidic,0.6,9%,6
83,7.1,0.34,0.2,Low,0.063,47.0,164.0,0.99-1.00,Acidic,0.42,10%,5
84,7.3,0.22,0.3,Moderate,0.047,42.0,207.0,0.99-1.00,Acidic,0.46,9%,6
85,7.1,0.43,0.61,Moderate,0.045,54.0,155.0,0.99-1.00,Acidic,0.45,8%,5
86,7.1,0.44,0.63,Moderate,0.044,52.0,152.0,0.99-1.00,Acidic,0.46,8%,6
87,7.2,0.39,0.63,Moderate,0.044,55.0,156.0,0.99-1.00,Acidic,0.44,8%,6
88,6.8,0.25,0.31,High,0.05,69.0,202.0,0.99-1.00,Acidic,0.48,9%,6
89,7.1,0.43,0.61,Moderate,0.045,54.0,155.0,0.99-1.00,Acidic,0.45,8%,5
90,7.1,0.44,0.62,Moderate,0.044,52.0,152.0,0.99-1.00,Acidic,0.46,8%,6
91,7.2,0.39,0.63,Moderate,0.044,55.0,156.0,,Acidic,0.44,8%,6
92,6.1,0.27,0.43,Moderate,0.049,65.0,243.0,0.99-1.00,Acidic,0.47,9%,5
93,6.9,0.24,0.33,Low,0.035,47.0,136.0,0.99-1.00,Acidic,0.4,12%,7
94,,0.21,0.33,Low,0.034,48.0,136.0,<0.99,Acidic,0.41,12%,7
95,7.5,0.17,0.32,Low,0.04,51.0,148.0,0.99-1.00,Acidic,0.44,11%,7
96,7.1,0.26,0.29,Moderate,0.044,62.0,240.0,0.99-1.00,Acidic,0.42,9%,6
97,6.0,0.34,0.66,High,0.046,26.0,164.0,0.99-1.00,Acidic,0.5,8%,6
98,8.6,0.265,0.36,Low,0.034,15.0,80.0,0.99-1.00,Highly Acidic,0.36,11%,7
99,9.8,0.36,0.46,Moderate,0.038,4.0,83.0,,Highly Acidic,0.3,10%,4
100,6.0,0.34,0.66,High,0.046,26.0,164.0,0.99-1.00,Acidic,0.5,8%,6
101,7.4,0.25,0.37,High,0.06,52.0,192.0,0.99-1.00,Acidic,0.44,9%,5
102,7.1,0.12,0.32,Moderate,0.054,64.0,162.0,0.99-1.00,Acidic,0.42,9%,5
103,6.0,0.21,0.24,Moderate,0.05,55.0,164.0,0.99-1.00,Acidic,0.39,9%,5
104,7.5,0.305,0.4,High,0.059,44.0,170.0,>1.00,Highly Acidic,0.44,9%,5
105,7.4,0.25,0.37,High,0.06,52.0,192.0,0.99-1.00,Acidic,0.43,9%,5
106,7.3,0.13,0.32,High,0.051,34.0,109.0,0.99-1.00,Acidic,0.35,9%,6
107,7.1,0.12,0.32,Moderate,0.054,64.0,162.0,0.99-1.00,Acidic,0.41,9%,5
108,7.1,0.23,0.35,High,0.04,60.0,171.0,0.99-1.00,Acidic,0.59,9%,6
109,7.1,0.23,0.35,High,0.04,60.0,171.0,0.99-1.00,Acidic,0.59,9%,6
110,6.9,0.33,0.28,Low,0.051,37.0,187.0,0.99-1.00,Acidic,0.6,10%,5
111,6.5,0.17,0.54,Moderate,0.082,64.0,163.0,0.99-1.00,Highly Acidic,0.39,8%,6
112,7.2,0.27,0.46,High,0.052,45.0,255.0,>1.00,Acidic,0.52,8%,5
113,7.2,0.31,0.5,High,0.056,68.0,195.0,0.99-1.00,Acidic,0.47,9%,5
114,6.7,0.41,0.34,Moderate,0.049,29.0,150.0,0.99-1.00,Acidic,0.51,9%,5
115,6.7,0.41,0.34,Moderate,0.049,29.0,150.0,0.99-1.00,Acidic,0.51,9%,5
116,5.5,0.485,0.0,Low,0.065,8.0,103.0,0.99-1.00,Acidic,0.4,9%,4
117,6.0,0.31,0.23,Low,0.041,25.0,143.0,0.99-1.00,Acidic,0.44,11%,6
118,7.0,0.14,0.4,Low,0.035,16.0,85.0,0.99-1.00,Acidic,0.42,11%,6
119,7.2,,0.5,High,0.056,68.0,195.0,0.99-1.00,Acidic,0.47,9%,5
120,7.3,0.32,0.48,High,0.06,57.0,196.0,0.99-1.00,Acidic,0.5,9%,5
121,5.9,0.36,0.04,Low,0.046,21.0,87.0,0.99-1.00,Acidic,0.51,10%,5
122,7.8,0.24,0.31,Moderate,0.054,42.0,138.0,0.99-1.00,Acidic,0.54,8%,5
123,7.4,0.17,0.31,Low,0.059,31.0,131.0,0.99-1.00,Acidic,0.34,9%,5
124,6.9,0.19,0.28,Low,0.058,14.0,146.0,0.99-1.00,Acidic,0.36,9%,6
125,6.4,0.13,0.47,Low,0.092,40.0,158.0,0.99-1.00,Acidic,0.36,9%,6
126,6.7,0.19,0.36,Low,0.026,63.0,143.0,0.99-1.00,Acidic,0.48,11%,6
127,7.4,0.39,0.23,Moderate,0.033,29.0,126.0,0.99-1.00,Acidic,0.42,10%,5
128,6.5,0.24,0.32,Moderate,0.038,48.0,203.0,0.99-1.00,Acidic,0.54,9%,7
129,6.1,0.3,0.56,Low,0.044,47.0,179.0,0.99-1.00,Acidic,0.57,10%,7
130,6.1,0.3,0.56,Low,0.046,46.0,184.0,0.99-1.00,Acidic,0.57,10%,6
131,5.7,0.26,0.25,Moderate,0.02,7.0,57.0,0.99-1.00,Acidic,0.37,10%,5
132,6.5,0.24,0.32,Moderate,0.038,48.0,203.0,0.99-1.00,Acidic,0.54,9%,7
133,6.5,0.425,0.4,High,0.038,59.0,56.0,,Acidic,0.57,9%,5
134,,0.24,0.27,High,0.035,46.0,188.0,0.99-1.00,Acidic,0.51,9%,5
135,6.8,0.27,0.22,Moderate,0.034,55.0,203.0,0.99-1.00,Acidic,0.52,8%,5
136,6.7,0.27,0.31,High,0.036,44.0,179.0,0.99-1.00,Acidic,0.56,9%,5
137,8.2,0.23,0.4,Low,0.027,36.0,121.0,0.99-1.00,Acidic,0.38,10%,6
138,7.1,0.37,0.67,Moderate,0.045,49.0,155.0,0.99-1.00,Acidic,0.44,8%,5
139,6.8,0.19,0.36,Low,0.035,30.0,96.0,0.99-1.00,Acidic,0.52,10%,7
140,8.1,0.28,0.39,Low,0.029,18.0,79.0,0.99-1.00,Acidic,0.52,11%,6
141,6.3,0.31,0.34,Low,0.045,20.0,77.0,0.99-1.00,Acidic,0.43,10%,5
142,7.1,0.37,0.7,Moderate,0.045,49.0,155.0,0.99-1.00,Acidic,0.44,8%,5
143,7.9,0.21,0.4,Low,0.039,38.0,107.0,0.99-1.00,Acidic,0.54,10%,6
144,8.5,0.21,0.41,Low,0.036,24.0,99.0,0.99-1.00,Acidic,0.53,9%,6
145,8.1,0.2,0.4,Low,0.037,19.0,87.0,0.99-1.00,Acidic,0.54,11%,6
146,6.3,0.255,0.37,Low,0.04,37.0,114.0,0.99-1.00,Acidic,0.39,10%,6
147,5.6,0.16,0.27,Low,0.044,53.0,168.0,0.99-1.00,Acidic,0.37,10%,6
148,6.4,0.595,0.14,Low,0.058,15.0,97.0,0.99-1.00,Acidic,0.36,9%,4
149,6.3,0.33,0.33,Low,0.034,19.0,80.0,0.99-1.00,Acidic,0.58,12%,7
150,6.9,0.25,0.3,Low,0.054,23.0,116.0,0.99-1.00,Highly Acidic,0.38,9%,6
151,7.9,0.22,0.38,Moderate,0.043,46.0,152.0,0.99-1.00,Acidic,0.32,11%,7
152,7.6,0.18,0.46,Moderate,0.055,58.0,135.0,0.99-1.00,Acidic,0.43,9%,6
153,6.9,0.25,0.3,Low,0.054,23.0,116.0,0.99-1.00,Highly Acidic,0.38,9%,6
154,7.2,0.18,0.41,Low,0.048,41.0,97.0,0.99-1.00,Acidic,0.45,10%,5
155,8.2,0.23,0.4,Moderate,0.049,12.0,76.0,0.99-1.00,Acidic,0.84,9%,6
156,7.4,0.24,0.42,High,0.066,48.0,198.0,0.99-1.00,Highly Acidic,0.42,8%,6
157,7.4,0.24,0.42,High,0.066,48.0,198.0,0.99-1.00,Highly Acidic,0.42,8%,6
158,6.1,0.32,0.24,Low,0.036,38.0,124.0,<0.99,Acidic,0.42,12%,7
159,5.2,0.44,0.04,Low,0.036,43.0,119.0,<0.99,Acidic,0.33,12%,8
160,5.2,0.44,0.04,Low,0.036,43.0,119.0,<0.99,Acidic,0.33,12%,8
161,6.1,0.32,0.24,Low,0.036,38.0,124.0,<0.99,Acidic,0.42,12%,7
162,6.4,0.22,0.55,High,0.055,27.0,159.0,0.99-1.00,Highly Acidic,0.4,9%,5
163,6.3,0.36,0.3,Low,0.049,14.0,85.0,0.99-1.00,Acidic,0.39,10%,5
164,7.4,0.24,0.42,High,0.066,48.0,198.0,0.99-1.00,Highly Acidic,0.42,8%,6
165,6.7,0.24,0.35,High,0.05,64.0,205.0,0.99-1.00,Acidic,0.5,9%,5
166,7.0,0.23,0.36,High,0.051,72.0,177.0,0.99-1.00,Acidic,0.49,9%,5
167,8.4,0.27,0.46,Moderate,0.048,39.0,197.0,0.99-1.00,Acidic,0.59,9%,6
168,6.7,0.46,0.18,Low,0.034,25.0,98.0,<0.99,Acidic,0.44,12%,7
169,7.5,0.29,0.31,Moderate,0.055,20.0,151.0,0.99-1.00,Acidic,0.54,9%,5
170,9.8,0.42,0.48,Moderate,0.034,5.0,110.0,0.99-1.00,Highly Acidic,0.29,10%,5
171,7.1,0.3,0.46,Low,0.066,29.0,133.0,0.99-1.00,Acidic,0.54,12%,6
172,7.9,0.19,0.45,Low,0.045,17.0,96.0,0.99-1.00,Acidic,0.39,11%,6
173,7.6,0.47,0.37,Low,0.037,4.0,100.0,0.99-1.00,Acidic,0.4,11%,4
174,6.3,0.22,0.43,Low,0.038,31.0,130.0,0.99-1.00,Acidic,0.33,11%,7
175,7.5,0.27,0.31,High,0.051,33.0,173.0,0.99-1.00,Acidic,0.64,10%,5
176,6.9,0.23,0.4,Moderate,0.04,50.0,151.0,0.99-1.00,Acidic,0.27,11%,6
177,7.2,0.32,0.47,Low,0.044,19.0,65.0,0.99-1.00,Acidic,0.41,12%,4
178,5.9,0.23,0.3,Moderate,0.054,57.0,170.0,0.99-1.00,Acidic,0.39,9%,5
179,6.0,0.67,0.07,Low,0.06,9.0,108.0,0.99-1.00,Acidic,0.35,8%,4
180,6.4,0.25,0.32,Low,0.049,41.0,176.0,0.99-1.00,Acidic,0.68,9%,6
181,6.4,0.32,0.31,Low,0.048,42.0,173.0,0.99-1.00,Acidic,0.66,9%,6
182,7.1,0.35,0.15,Low,0.053,61.0,183.0,0.99-1.00,Acidic,0.43,9%,5
183,6.8,0.28,0.4,High,0.048,48.0,167.0,>1.00,Highly Acidic,0.5,8%,5
184,6.9,0.27,0.4,High,0.05,64.0,227.0,0.99-1.00,Acidic,0.58,9%,6
185,6.8,0.26,0.56,Moderate,0.043,64.0,226.0,0.99-1.00,Acidic,0.63,9%,5
186,6.8,0.29,0.56,Moderate,0.043,66.0,230.0,0.99-1.00,Acidic,0.61,9%,5
187,6.7,0.24,0.41,Moderate,0.04,49.0,166.0,0.99-1.00,Acidic,0.61,9%,6
188,5.9,0.3,0.23,Low,0.038,42.0,119.0,0.99-1.00,Acidic,0.5,11%,5
189,6.8,0.53,0.35,Low,0.034,26.0,109.0,0.99-1.00,Acidic,0.57,12%,8
190,6.5,0.28,0.28,Moderate,0.047,54.0,210.0,0.99-1.00,Acidic,0.54,8%,4
191,6.6,0.28,0.28,Moderate,0.052,55.0,211.0,0.99-1.00,Acidic,0.55,8%,6
192,6.8,0.28,0.4,High,0.048,48.0,167.0,>1.00,Highly Acidic,0.5,8%,5
193,6.8,0.28,0.35,Moderate,0.045,28.0,123.0,0.99-1.00,Acidic,0.37,11%,6
194,6.6,0.15,0.34,Low,0.055,34.0,125.0,0.99-1.00,Acidic,0.42,9%,5
195,6.4,0.29,0.44,Low,0.2,75.0,181.0,0.99-1.00,Acidic,0.41,9%,5
196,6.4,0.3,0.45,Low,0.197,76.0,180.0,0.99-1.00,Acidic,0.39,9%,6
197,6.4,0.29,0.44,Low,0.197,75.0,183.0,0.99-1.00,Neutral,0.38,9%,5
198,,0.26,0.24,Moderate,0.052,54.0,51.0,,Acidic,0.47,8%,5
199,7.1,0.32,0.24,High,0.05,52.0,204.0,0.99-1.00,Acidic,0.49,8%,5
200,6.8,0.26,0.24,Moderate,0.052,54.0,214.0,0.99-1.00,Acidic,0.47,8%,5
201,6.8,0.27,0.26,High,0.049,55.0,196.0,0.99-1.00,Acidic,0.5,9%,5
202,7.1,0.32,0.24,High,0.05,52.0,204.0,0.99-1.00,Acidic,0.49,8%,5
203,6.9,0.54,0.32,High,0.05,53.0,236.0,0.99-1.00,Acidic,0.5,9%,5
204,6.8,0.26,0.34,High,0.034,39.0,134.0,0.99-1.00,Acidic,0.53,12%,6
205,5.8,0.28,0.35,Low,0.053,36.0,114.0,0.99-1.00,Acidic,0.5,10%,4
206,6.4,0.21,0.5,Moderate,0.042,45.0,153.0,0.99-1.00,Acidic,0.43,8%,5
207,7.0,0.15,0.31,Moderate,0.045,38.0,126.0,0.99-1.00,Acidic,0.34,9%,5
208,10.2,0.42,0.88,Low,0.049,20.0,124.0,0.99-1.00,Highly Acidic,0.51,9%,4
209,6.8,0.57,0.29,Low,0.04,15.0,77.0,0.99-1.00,Acidic,0.74,10%,5
210,6.1,0.4,0.31,Low,0.048,23.0,21.0,0.99-1.00,Acidic,0.77,9%,6
211,5.6,0.245,0.25,Moderate,0.032,12.0,68.0,0.99-1.00,Acidic,0.34,10%,5
212,6.8,0.18,0.38,Low,0.038,35.0,111.0,0.99-1.00,Acidic,0.59,11%,7
213,7.0,0.16,0.32,Moderate,0.045,38.0,126.0,0.99-1.00,Neutral,0.34,9%,5
214,6.7,0.13,0.29,Low,0.051,31.0,122.0,0.99-1.00,Acidic,0.37,9%,6
215,6.2,0.25,0.25,Low,0.03,35.0,105.0,0.99-1.00,Acidic,0.44,11%,7
216,5.8,0.25,0.24,Moderate,0.044,55.0,152.0,0.99-1.00,Acidic,0.38,9%,5
217,7.5,0.27,0.36,Moderate,0.036,45.0,164.0,,Acidic,0.33,11%,5
218,5.8,0.26,0.24,Moderate,0.044,55.0,152.0,0.99-1.00,Acidic,0.38,9%,5
219,5.7,0.28,0.24,High,0.044,60.0,167.0,0.99-1.00,Acidic,0.44,9%,5
220,7.5,0.23,0.36,Moderate,0.036,43.0,161.0,0.99-1.00,Acidic,0.32,11%,5
221,,0.27,0.36,Moderate,0.036,45.0,164.0,0.99-1.00,Acidic,0.33,11%,5
222,7.2,,0.21,Moderate,0.07,33.0,172.0,0.99-1.00,Acidic,0.55,9%,6
223,6.2,0.25,0.25,Low,0.03,35.0,105.0,,Acidic,0.44,11%,7
224,6.5,0.19,0.3,Low,0.043,33.0,144.0,,Acidic,0.39,9%,6
225,6.3,0.495,0.22,Low,0.046,31.0,140.0,0.99-1.00,Acidic,0.52,10%,6
226,7.1,0.24,0.41,High,0.046,39.0,145.0,0.99-1.00,Acidic,0.39,8%,5
227,6.4,0.17,0.32,Low,0.048,41.0,200.0,0.99-1.00,Acidic,0.5,9%,6
228,7.1,0.25,0.32,Moderate,0.041,66.0,272.0,0.99-1.00,Acidic,0.52,9%,6
229,6.4,0.17,0.32,Low,0.048,41.0,200.0,0.99-1.00,Acidic,0.5,9%,6
230,,0.24,0.41,High,0.046,39.0,145.0,0.99-1.00,Acidic,0.39,8%,5
231,6.8,0.64,0.08,Moderate,0.062,26.0,142.0,0.99-1.00,Acidic,0.46,8%,4
232,8.3,0.28,0.4,Moderate,0.041,38.0,194.0,0.99-1.00,Neutral,0.51,9%,6
233,8.2,0.27,0.39,Moderate,0.039,49.0,208.0,0.99-1.00,Acidic,0.51,9%,6
234,,0.23,0.38,High,0.058,55.0,194.0,0.99-1.00,Acidic,0.44,9%,6
235,7.2,0.23,0.38,High,0.058,55.0,194.0,0.99-1.00,Acidic,0.44,9%,6
236,7.2,0.23,0.38,High,0.058,55.0,194.0,0.99-1.00,Acidic,0.44,9%,6
237,,0.23,0.38,High,0.058,55.0,194.0,0.99-1.00,Acidic,0.44,9%,6
238,6.8,0.52,0.32,High,0.044,54.0,221.0,0.99-1.00,Acidic,0.5,9%,6
239,7.0,0.26,0.59,Low,0.037,40.0,120.0,0.99-1.00,Acidic,0.41,11%,7
240,6.2,0.25,0.21,High,0.039,28.0,159.0,0.99-1.00,Acidic,0.64,9%,6
241,7.3,0.32,0.23,High,0.05,49.0,197.0,0.99-1.00,Acidic,0.46,8%,5
242,7.7,0.31,0.26,Moderate,0.031,23.0,90.0,0.99-1.00,Acidic,0.5,10%,5
243,7.1,0.21,0.37,Low,0.026,23.0,100.0,0.99-1.00,Acidic,0.38,11%,7
244,6.8,0.24,0.34,Low,0.047,64.5,218.5,0.99-1.00,Acidic,0.58,9%,6
245,6.9,0.4,0.56,Moderate,0.043,40.0,142.0,0.99-1.00,Acidic,0.46,8%,5
246,6.1,0.18,0.36,Low,0.038,20.0,249.5,,Acidic,0.79,11%,6
247,6.8,0.21,0.27,Low,0.03,26.0,139.0,0.99-1.00,Acidic,0.61,12%,7
248,5.8,0.2,0.27,Low,0.031,12.0,77.0,0.99-1.00,Acidic,0.36,10%,7
249,5.6,0.19,0.26,Low,0.03,12.0,76.0,0.99-1.00,Acidic,0.37,10%,7
250,6.1,0.41,0.14,Moderate,0.037,18.0,119.0,0.99-1.00,Acidic,0.45,10%,5
251,5.9,0.21,0.28,Low,0.053,40.0,199.0,0.99-1.00,Acidic,0.7,10%,4
252,8.5,0.26,0.21,High,0.074,41.0,197.0,0.99-1.00,Acidic,0.5,9%,3
253,6.9,0.4,0.56,Moderate,0.043,40.0,142.0,0.99-1.00,Acidic,0.46,8%,5
254,5.8,0.24,0.44,Low,0.029,5.0,109.0,0.99-1.00,Acidic,0.43,11%,3
255,,0.24,0.39,Low,0.054,37.0,158.0,0.99-1.00,Acidic,0.52,9%,6
256,6.7,0.26,0.39,Low,0.04,45.0,147.0,0.99-1.00,Acidic,0.58,9%,8
257,6.3,0.35,0.3,Low,0.035,8.0,97.0,0.99-1.00,Acidic,0.41,11%,7
258,6.3,0.35,0.3,Low,0.035,8.0,97.0,0.99-1.00,Acidic,0.41,11%,7
259,6.4,0.23,0.39,Low,0.032,23.0,118.0,0.99-1.00,Acidic,0.5,11%,6
260,5.8,0.36,0.38,Low,0.037,3.0,75.0,0.99-1.00,Acidic,0.34,11%,4
261,,0.115,0.35,Low,0.048,36.0,108.0,,Acidic,0.42,10%,6
262,6.9,0.29,0.4,High,0.043,36.0,156.0,0.99-1.00,Highly Acidic,0.47,8%,5
263,6.9,0.28,0.4,Moderate,0.036,15.0,95.0,,Acidic,0.33,10%,5
264,7.2,0.29,0.4,High,0.045,66.0,231.0,0.99-1.00,Acidic,0.59,9%,6
265,6.2,0.24,0.35,Low,0.038,22.0,167.0,0.99-1.00,Acidic,0.48,10%,6
266,6.9,0.29,0.4,High,0.043,36.0,156.0,0.99-1.00,Highly Acidic,0.47,8%,5
267,6.9,0.32,0.26,Moderate,0.053,32.0,180.0,0.99-1.00,Acidic,0.5,9%,6
268,5.3,0.58,0.07,Low,0.043,34.0,149.0,0.99-1.00,Acidic,0.57,9%,5
269,5.3,0.602,0.07,Moderate,0.044,34.0,145.0,0.99-1.00,Acidic,0.57,9%,6
270,5.4,0.59,0.07,Moderate,0.045,36.0,147.0,0.99-1.00,Acidic,0.57,9%,6
271,6.9,0.32,0.26,Moderate,0.053,32.0,180.0,0.99-1.00,Acidic,0.51,9%,6
